id,odds,win_loss_amount,bet_with,bet_amount,bet_against,bet_date,game,win_loss_code,tournament
cfplKvwN6kgfigJjuLDa,1.34,113.9,HomeBois,85.0,Bigetron Beta,2024-07-30,mlbb,WIN,snapdragon_pro_series
csbvacnD1ZheUvHWuXio,2.02,50.5,Ilha das Landas,25.0,Rise,2024-07-23,lol,WIN,cblol_academy
e9WaFvoBOOv0XAkLtDqP,2.67,-25.0,Galatasaray,25.0,Papara SuperMassive,2024-07-22,valorant,LOSS,challengers_turkey
eI0hNyWi6ggQVCYqSu6f,1.34,113.9,Liquid Echo,85.0,RSG PH,2024-07-30,mlbb,WIN,snapdragon_pro_series
eNSL7EgNQiCxIeLHdsKU,2.03,172.55,Rare Atom,85.0,Team WE,2024-07-25,lol,WIN,lpl
eP2ye9nYNLJ3l2HIhM67,2.61,-25.0,ZOL,25.0,NAOS,2024-07-22,valorant,LOSS,challengers_philippines
eXcsbhaZfXMFeLwisBAL,6.49,-25.0,All Gamers,25.0,Trace,2024-07-16,valorant,LOSS,champions_tour_china
f8X8DZZFqULzNuw3KWsg,2.15,-25.0,Valiant,25.0,Joblife,2024-07-22,valorant,LOSS,challengers_france
g6NMdCwZLRHsR1tab4Q0,1.42,-85.0,SK Gaming,85.0,Karmine Corp,2024-07-24,lol,LOSS,lec
gZZ6KMwMP9yJcf1VngV7,2.3,-25.0,IAM,25.0,SLT,2024-07-17,valorant,LOSS,challengers_korea
gjxlvnfu4Ieqwzg00Kxy,3.74,-25.0,Bigetron Beta,25.0,Geek Fam ID,2024-07-29,mlbb,LOSS,snapdragon_pro_series
gqNHhfhSAnafF8tn4jIO,1.23,104.55,Liquid Echo,85.0,HomeBois,2024-07-29,mlbb,WIN,snapdragon_pro_series
h8MVwkM2f5RDSMPSZesn,2.1,178.5,The Young,85.0,UU Gamers,2024-07-14,hok,WIN,king_growth_league
hSrV4X4gwkRPM2E5LTYh,2.74,-25.0,IHC,25,HomeBois,2024-06-29,mlbb,LOSS,msc
hnlc3Nok0uPf7wmNjnId,2.82,-25.0,Supernova,25.0,FlyQuest NZXT,2024-07-22,lol,LOSS,nacl
iYSqX4ghXqRg7XC6NOfi,2.79,-85.0,T1 Academy,85.0,KT Rolster Challengers,2024-07-25,lol,LOSS,lck_cl
iboACI1y7oHKzHcl47OO,3.46,-85.0,LGD NBW,85.0,Weibo,2024-07-12,hok,LOSS,king_pro_league
ik9trjo4pQrB8kIzWqnQ,1.42,120.7,SRG,85.0,NIP Flash,2024-07-13,mlbb,WIN,msc
iyCF0LgqOHXTQodVrmVP,1.8,369.0,SRG,205.0,Falcons AP.Bren,2024-08-03,mlbb,WIN,snapdragon_pro_series
jTWMfQ2ulpNyX8CB2D1Q,2.19,-85.0,The Young,85.0,WanZhen,2024-07-27,hok,LOSS,king_growth_league
jmwyQs1YHuWwR023VAIp,2.01,50.25,JustUS,25.0,Avernus,2024-07-17,valorant,WIN,challengers_philippines
jzIrtHOzafpipTmRSmEW,2.0,-25.0,Dplus,25.0,Sin Prisa,2024-07-18,valorant,LOSS,challengers_korea
kxFWmaVHqkphGdGqxG4j,2.73,-25.0,Shopify Rebellion,25.0,OG,2024-07-28,dota2,LOSS,elite_league
m3LPydpfWvi2LRNxDhmw,2.01,170.85,EDward Gaming,85.0,Ultra Prime,2024-07-27,lol,WIN,lpl
mTGGYYm5N4csZC26O4Zp,2.28,-25.0,S2G,25,KeepBest,2024-06-28,mlbb,LOSS,msc
mxrSNeE5EtDeq5tNsOw6,3.73,93.25,Galorys,25.0,Red Canids,2024-07-16,valorant,WIN,challengers_brazil
n1ApMacfm0orSrjNPVwR,2.62,-25.0,NNO Prime,25.0,Unicorns of Love Sexy Edition,2024-07-21,lol,LOSS,prime_league_1st_division
n7XWLTRSp2BH5eygFT1B,2.35,199.75,SYS,85.0,Falcons,2024-07-06,mlbb,WIN,msc
nCChWCaZZAbvLZxFQJ1C,2.51,-25.0,Gen.G Global Academy,25.0,BNK FearX Youth,2024-07-23,lol,LOSS,cblol_academy
nPeeCGIJZ9HajpVyMMji,2.19,186.15,Mad Dog,85.0,Kai Lun,2024-07-20,hok,WIN,king_growth_league
ndpeyyFJvhcYeiBmEaeA,2.1,-25.0,JD Gaming,25.0,Bilibili,2024-07-16,valorant,LOSS,champions_tour_china
